	city	AR_contri	AR_contrisd	AC_contri	AC_contrisd	AI_contri	AI_contrisd	ABK_contri	ABK_contrisd	AF_contri	AF_contrisd	AV_contri	AV_contrisd	SA_contri	SA_contrisd
166	Agra	0.590726	0.130742	0.004556	0.003640	0.026350	0.014252	0.032039	0.018722	0.012249	0.008369	0.000741	0.000672	0.333340	0.132433
338	Ahmedabad	0.068073	0.056608	0.019742	0.014483	0.077783	0.046850	0.040333	0.038072	0.006794	0.002599	0.005062	0.003343	0.782213	0.126826
515	Allahabad	0.651043	0.134531	0.001281	0.001092	0.010192	0.009012	0.065855	0.044460	0.003783	0.001609	0.000244	0.000163	0.267602	0.106321
695	Chennai	0.386770	0.169630	0.017326	0.013837	0.038367	0.034702	0.171091	0.089240	0.000440	0.000172	0.000000	0.000000	0.386006	0.240249
873	Kanpur	0.433192	0.109561	0.003469	0.002740	0.017108	0.013176	0.143907	0.059625	0.006657	0.003135	0.002392	0.001547	0.393274	0.111165
1051	Lucknow	0.491758	0.082500	0.006224	0.005145	0.006577	0.005614	0.106077	0.053694	0.004890	0.002186	0.007194	0.004590	0.377280	0.118651
1231	Ludhiana	0.422821	0.120470	0.002180	0.001658	0.034075	0.018724	0.036426	0.031128	0.044166	0.022643	0.001212	0.001073	0.459119	0.109041
1410	Patna	0.563397	0.115190	0.005106	0.003924	0.066950	0.036216	0.215775	0.052193	0.001588	0.001187	0.000215	0.000195	0.146969	0.088015
1584	Raipur	0.224943	0.106107	0.002477	0.001826	0.016695	0.016059	0.087300	0.054915	0.010804	0.003450	0.000523	0.000320	0.657258	0.137866
1923	Hyderabad	0.142492	0.130562	0.136669	0.103749	0.276501	0.152721	0.000000	0.000000	0.004167	0.002944	0.196804	0.138431	0.243366	0.225433
1924	Hyderabad	0.142492	0.130562	0.136669	0.103749	0.276501	0.152721	0.000000	0.000000	0.004167	0.002944	0.196804	0.138431	0.243366	0.225433
2117	Jaipur	0.118633	0.106836	0.032818	0.028274	0.064334	0.058796	0.049856	0.045781	0.057437	0.024515	0.001953	0.001188	0.674968	0.197672
2288	Bangalore	0.155680	0.109482	0.090454	0.061534	0.018429	0.014677	0.052340	0.041710	0.002970	0.001188	0.037004	0.023194	0.643123	0.228622
2460	Kolkata	0.393035	0.159839	0.022431	0.018451	0.097480	0.054467	0.252647	0.072838	0.001942	0.001490	0.010384	0.008744	0.222081	0.108821
2640	NewDelhi	0.378550	0.102976	0.030223	0.021342	0.029693	0.019131	0.131228	0.045484	0.094289	0.022421	0.031462	0.017410	0.304555	0.068749
2797	Mumbai	0.222440	0.153535	0.141368	0.088452	0.080381	0.054094	0.000000	0.000000	0.008511	0.003480	0.020975	0.012593	0.526325	0.119040
