
month	AR_contrisd	AC_contrisd	AI_contrisd	ABK_contrisd	AF_contrisd	AV_contrisd	SA_contrisd
2642	1	0.107581	0.023039	0.021304	0.044989	0.000099	0.022469	0.074170
2643	2	0.102261	0.021900	0.023366	0.049344	0.000419	0.022180	0.080226
2644	3	0.095297	0.020408	0.023589	0.049815	0.001509	0.019904	0.085249
2645	4	0.081766	0.017510	0.026986	0.056989	0.003135	0.022770	0.093817
2646	5	0.075800	0.016233	0.025017	0.052832	0.034910	0.021109	0.078395
2647	6	0.091651	0.019627	0.034030	0.000000	0.004654	0.028713	0.110718
2648	7	0.077323	0.016559	0.015312	0.000000	0.000519	0.025839	0.125484
2649	8	0.066129	0.014162	0.016369	0.000000	0.000270	0.027623	0.137905
2650	9	0.073405	0.015720	0.018170	0.000000	0.000419	0.030663	0.124033
2651	10	0.089236	0.019110	0.025244	0.053311	0.007335	0.021300	0.081041
2652	11	0.109053	0.023354	0.021595	0.045605	0.010694	0.018221	0.072368
2653	12	0.114175	0.024451	0.022609	0.047747	0.000471	0.023846	0.072313
