	year	AR_contri	AC_contri	AI_contri	ABK_contri	AF_contri	AV_contri	SA_contri
2484	2001	0.297470	0.016013	0.010980	0.190306	0.013287	0.029441	0.442504
2496	2002	0.315864	0.017003	0.012057	0.185926	0.004804	0.026014	0.438333
2508	2003	0.319201	0.017374	0.011513	0.179423	0.013513	0.025402	0.433574
2520	2004	0.317811	0.016781	0.011708	0.178276	0.019895	0.025988	0.429539
2532	2005	0.309622	0.016642	0.012212	0.169301	0.074458	0.022180	0.395584
2544	2006	0.320743	0.017969	0.014120	0.171440	0.014797	0.024227	0.436704
2556	2007	0.319677	0.018619	0.014918	0.168407	0.044717	0.028359	0.405302
2568	2008	0.321981	0.019946	0.016730	0.154176	0.084164	0.029431	0.373571
2580	2009	0.337165	0.021605	0.020733	0.157934	0.022921	0.033232	0.406409
2592	2010	0.318705	0.021276	0.021092	0.146751	0.049824	0.033036	0.409315
2604	2011	0.330536	0.022715	0.022678	0.148750	0.046530	0.035389	0.393403
2616	2012	0.359386	0.025789	0.024812	0.146912	0.046520	0.032589	0.363992
2628	2013	0.388429	0.029945	0.028598	0.141945	0.031437	0.032649	0.346997
2640	2014	0.378550	0.030223	0.029693	0.131228	0.094289	0.031462	0.304555
2652	2015	0.400892	0.033073	0.033518	0.131578	0.044972	0.032928	0.323038
