R,month,AvgHumidity,beta,AR,AC,AI,AF,ABK,AV,const,cityID,city,cityID2,TierID,date,tmax,city_coord,tmin,rhum,uwnd,vwnd,hpbl,wnd
47.75218659,1,0.64,1.272727273,20792.4592,391.5374069,502.9653451,0.483870968,2,3077385.275,1,1,Agra,7,2,1/1/2001,22.53,Agra,7.4,31.559998,-0.38000488,-1.949997,722.9113,1.986678638
36.26552265,2,0.55,1.181818182,18020.13131,339.3324193,502.9653451,2,2,2769646.748,1,1,Agra,7,2,2/1/2001,26.3,Agra,11.41,22.700012,-1.0899963,-2.1900024,999.36163,2.446262955
24.97195908,3,0.45,1.181818182,16633.96736,313.2299255,502.9653451,8.433333333,2,2461908.22,1,1,Agra,7,2,3/1/2001,31,Agra,14.97998,20.410004,-1.550003,-2.0800018,1502.8307,2.594015572
38.92987418,4,0.35,1.090909091,12475.47552,234.9224441,502.9653451,16.6,2,2461908.22,1,1,Agra,7,2,4/1/2001,37.22,Agra,19.41998,21.339996,-1.3099976,-2.0700073,1826.3833,2.449698744
50.03111001,5,0.34,1.090909091,12475.47552,234.9224441,502.9653451,38.09677419,2,2461908.22,1,1,Agra,7,2,5/1/2001,39.93,Agra,23.78,37.579987,0.33999634,-1.800003,2005.633,1.831831955
47.69326543,9,0.67,1.272727273,8316.983679,156.6149627,251.4826725,0.933333333,0,2461908.22,1,1,Agra,7,2,9/1/2001,36,Agra,21.51,38.01001,1.0299988,-1.050003,1123.3042,1.470851396
51.81267342,10,0.54,1.181818182,14554.72144,274.0761848,502.9653451,10.09677419,2,2461908.22,1,1,Agra,7,2,10/1/2001,32.87,Agra,17.87,33.089996,-0.80999756,-1.1100006,1016.9677,1.374116945
53.84539598,11,0.56,1.181818182,20792.4592,391.5374069,502.9653451,3.233333333,2,2461908.22,1,1,Agra,7,2,11/1/2001,27.78998,Agra,12.3,29.149994,-1.0099945,-1.6000061,886.38336,1.892117441
56.10931317,12,0.64,1.272727273,20792.4592,391.5374069,502.9653451,1.290322581,2,3077385.275,1,1,Agra,7,2,12/1/2001,24.24,Agra,10.03998,33.920013,-0.8600006,-2.1100006,723.3306,2.27853101
55.52616435,1,0.64,1.272727273,27831.3685,509.4245439,954.8920388,0.580645161,2,7060963.31,1,1,Agra,7,2,1/1/2011,21.01,Agra,8.36,39.559998,-0.5200043,-1.9400024,680.5726,2.008485445
46.75416492,2,0.55,1.181818182,24120.51937,441.5012714,954.8920388,1.214285714,2,6354866.979,1,1,Agra,7,2,2/1/2011,24.66,Agra,10.97,43.160004,-0.75,-0.93000793,1029.0803,1.194744638
35.7307963,3,0.45,1.181818182,22265.0948,407.5396351,954.8920388,6.3,2,5648770.648,1,1,Agra,7,2,3/1/2011,31.06,Agra,15.88,28.579987,-0.93000793,-1.6800079,1409.5443,1.920245113
44.34646608,4,0.35,1.090909091,16698.8211,305.6547263,954.8920388,17.76666667,2,5648770.648,1,1,Agra,7,2,4/1/2011,33.9,Agra,17.72,31.76001,-2.1600037,-1.1000061,1840.8334,2.423969761
34.46440794,5,0.34,1.090909091,16698.8211,305.6547263,954.8920388,31.16129032,2,5648770.648,1,1,Agra,7,2,5/1/2011,40.43,Agra,24.21,32.73001,-0.3500061,-1.9700012,2018.1774,2.000852068
25.71901076,9,0.67,1.272727273,11132.5474,203.7698176,477.4460194,0.633333333,0,5648770.648,1,1,Agra,7,2,9/1/2011,31.41,Agra,22.38,75.92999,0.6399994,-0.29000854,660.8542,0.702640865
72.67872029,10,0.54,1.181818182,19481.95795,356.5971807,954.8920388,13.67741935,2,5648770.648,1,1,Agra,7,2,10/1/2011,30.69,Agra,16.64,42.940002,-0.070007324,-1.5099945,865.0645,1.511616491
71.93180551,11,0.56,1.181818182,27831.3685,509.4245439,954.8920388,7.033333333,2,5648770.648,1,1,Agra,7,2,11/1/2011,27.69,Agra,14.01,40.72,0.13000488,-1.7799988,712.925,1.784740036
72.2099628,12,0.64,1.272727273,27831.3685,509.4245439,954.8920388,0.967741935,2,7060963.31,1,1,Agra,7,2,12/1/2011,21.3,Agra,9.03,43.109985,-1.1199951,-2.0599976,565.35486,2.344776991
52.33100432,1,0.64,1.272727273,20238.79646,42.86360059,622.6399414,0.483870968,2,0,1,1,Agra,7,2,1/1/2001,22.53,Agra1_2,7.4,31.559998,-0.38000488,-1.949997,722.9113,1.986678638
