R,month,AvgHumidity,beta,AR,AC,AI,AF,ABK,AV,const,cityID,city,cityID2,TierID,date,tmax,city_coord,tmin,rhum,uwnd,vwnd,hpbl,wnd
48.62040817,1,0.64,1.272727273,20792.4592,391.5374069,502.9653451,0.483870968,2,3077385.275,1,1,Agra,7,2,1/1/2001,22.53,Agra,7.4,31.559998,-0.38000488,-1.949997,722.9113,1.986678638
34.28740324,2,0.55,1.181818182,18020.13131,339.3324193,502.9653451,2,2,2769646.748,1,1,Agra,7,2,2/1/2001,26.3,Agra,11.41,22.700012,-1.0899963,-2.1900024,999.36163,2.446262955
23.60985222,3,0.45,1.181818182,16633.96736,313.2299255,502.9653451,8.433333333,2,2461908.22,1,1,Agra,7,2,3/1/2001,31,Agra,14.97998,20.410004,-1.550003,-2.0800018,1502.8307,2.594015572
33.97516292,4,0.35,1.090909091,12475.47552,234.9224441,502.9653451,16.6,2,2461908.22,1,1,Agra,7,2,4/1/2001,37.22,Agra,19.41998,21.339996,-1.3099976,-2.0700073,1826.3833,2.449698744
43.66351419,5,0.34,1.090909091,12475.47552,234.9224441,502.9653451,38.09677419,2,2461908.22,1,1,Agra,7,2,5/1/2001,39.93,Agra,23.78,37.579987,0.33999634,-1.800003,2005.633,1.831831955
40.95813073,6,0.46,1.181818182,11089.31157,208.8199503,502.9653451,0.333333333,0,2461908.22,1,1,Agra,7,2,6/1/2001,37.37,Agra,25.71,52.429993,0.7400055,-0.68000793,1835.3917,1.004996978
31.49153869,7,0.72,1.272727273,10396.2296,195.7687034,251.4826725,0.206896552,0,2461908.22,1,1,Agra,7,2,7/1/2001,33.66998,Agra,24.65,74.75,0.7799988,0.7899933,1334.0968,1.110174555
33.45975986,8,0.77,1.272727273,8316.983679,156.6149627,251.4826725,0.225806452,0,2461908.22,1,1,Agra,7,2,8/1/2001,34.93,Agra,24.86,63.25,1.3699951,0.3500061,1085.3186,1.413998177
48.56041572,9,0.67,1.272727273,8316.983679,156.6149627,251.4826725,0.933333333,0,2461908.22,1,1,Agra,7,2,9/1/2001,36,Agra,21.51,38.01001,1.0299988,-1.050003,1123.3042,1.470851396
48.9865276,10,0.54,1.181818182,14554.72144,274.0761848,502.9653451,10.09677419,2,2461908.22,1,1,Agra,7,2,10/1/2001,32.87,Agra,17.87,33.089996,-0.80999756,-1.1100006,1016.9677,1.374116945
50.90837439,11,0.56,1.181818182,20792.4592,391.5374069,502.9653451,3.233333333,2,2461908.22,1,1,Agra,7,2,11/1/2001,27.78998,Agra,12.3,29.149994,-1.0099945,-1.6000061,886.38336,1.892117441
57.12948251,12,0.64,1.272727273,20792.4592,391.5374069,502.9653451,1.290322581,2,3077385.275,1,1,Agra,7,2,12/1/2001,24.24,Agra,10.03998,33.920013,-0.8600006,-2.1100006,723.3306,2.27853101
60.21055596,1,0.64,1.272727273,23370.90362,422.5379209,551.861815,0.548387097,2,3325284.12,1,1,Agra,7,2,1/1/2002,22.32,Agra,9.89,37.160004,-1.2100067,-1.550003,814.95966,1.966373696
37.14285715,2,0.55,1.181818182,20254.78314,366.1995314,551.861815,1.178571429,2,2992755.708,1,1,Agra,7,2,2/1/2002,24.84,Agra,11.97998,34.559998,-1.25,-1.0899963,959.97766,1.65849086
29.64785363,3,0.45,1.181818182,18696.72289,338.0303367,551.861815,7.826086957,2,2660227.296,1,1,Agra,7,2,3/1/2002,31.77002,Agra,16.22,24.619995,-1.2100067,-2.0099945,1381.2017,2.346101896
33.46656767,4,0.35,1.090909091,14022.54217,253.5227525,551.861815,23.34482759,2,2660227.296,1,1,Agra,7,2,4/1/2002,38.22,Agra,19.45,16.799988,-1.199997,-1.6000061,1975.1459,2.00000308
28.31072693,5,0.34,1.090909091,14022.54217,253.5227525,551.861815,33.77419355,2,2660227.296,1,1,Agra,7,2,5/1/2002,40.95,Agra,24.4,23.600006,-0.8800049,-1.4700012,2032.2903,1.71327527
47.1617171,6,0.46,1.181818182,12464.48193,225.3535578,551.861815,1.166666667,0,2660227.296,1,1,Agra,7,2,6/1/2002,41.69,Agra,27.3,32.04001,0.039993286,-0.27999878,2028.6375,0.282840555
39.12888178,7,0.72,1.272727273,11685.45181,211.2689605,275.9309075,0.322580645,0,2660227.296,1,1,Agra,7,2,7/1/2002,37.69,Agra,27.28,47.369995,3.1900024,0.80000305,1815.3064,3.28878704
39.00554188,8,0.77,1.272727273,9348.361447,169.0151684,275.9309075,1.129032258,0,2660227.296,1,1,Agra,7,2,8/1/2002,33.62,Agra,24.68,65.5,-0.30000305,1.199997,1026.7137,1.236929517
34.20761616,9,0.67,1.272727273,9348.361447,169.0151684,275.9309075,0.133333333,0,2660227.296,1,1,Agra,7,2,9/1/2002,32.58002,Agra,21.59,51.979996,-1.5700073,-1.3200073,989.2792,2.051180683
53.51386348,10,0.54,1.181818182,16359.63253,295.7765446,551.861815,10.58064516,2,2660227.296,1,1,Agra,7,2,10/1/2002,32.09,Agra,17.3,29.269989,-2.75,-2.119995,1207.3428,3.472301657
44.82139339,11,0.56,1.181818182,23370.90362,422.5379209,551.861815,0.833333333,2,2660227.296,1,1,Agra,7,2,11/1/2002,27.28,Agra,13.95,31.779999,-1.7200012,-2.7100067,859.7917,3.209757069
48.79863683,12,0.64,1.272727273,23370.90362,422.5379209,551.861815,0.870967742,2,3325284.12,1,1,Agra,7,2,12/1/2002,23.59,Agra,10.22998,33.25,-1.5,-2.300003,770.5524,2.745908556
80.00000002,1,0.64,1.272727273,24678.90511,436.2584628,526.6842838,0.096774194,2,3419921.28,1,1,Agra,7,2,1/1/2003,22.32,Agra,9.84998,37.660004,-1.300003,-1.6699982,697.0968,2.116341605
48.66828426,2,0.55,1.181818182,21388.38443,378.0906677,526.6842838,0.5,2,3077929.152,1,1,Agra,7,2,2/1/2003,23.96,Agra,10.88,43.089996,-1.7599945,-1.0599976,854.36163,2.054549963
37.05277974,3,0.45,1.181818182,19743.12409,349.0067702,526.6842838,2.161290323,2,2735937.024,1,1,Agra,7,2,3/1/2003,30.69,Agra,15.49,23.179993,-0.4900055,-1.7200012,1365.0161,1.788437731
33.90294743,4,0.35,1.090909091,14807.34307,261.7550777,526.6842838,11.03333333,2,2735937.024,1,1,Agra,7,2,4/1/2003,37.7,Agra,20.91,19.48999,-1.699997,-2.1399994,1887.4208,2.733054561
48.82538269,5,0.34,1.090909091,14807.34307,261.7550777,526.6842838,33.58064516,2,2735937.024,1,1,Agra,7,2,5/1/2003,40.28998,Agra,22.64,16.709991,-0.58999634,-2.2599945,2000.8226,2.335737747
47.1865212,6,0.46,1.181818182,13162.08273,232.6711801,526.6842838,3.433333333,0,2735937.024,1,1,Agra,7,2,6/1/2003,43.39,Agra,26.46,29.049988,0.7700043,-0.47000122,2110.5417,0.902112947
28.11466051,7,0.72,1.272727273,12339.45256,218.1292314,263.3421419,0.387096774,0,2735937.024,1,1,Agra,7,2,7/1/2003,32.59998,Agra,24.71,79.81999,0.3899994,1.3500061,1740.8104,1.405210305
40.3758745,8,0.77,1.272727273,9871.562046,174.5033851,263.3421419,0.419354839,0,2735937.024,1,1,Agra,7,2,8/1/2003,32.95,Agra,24.84998,72.70999,0.8800049,0.58999634,1403.2339,1.059483037
29.43861756,9,0.67,1.272727273,9871.562046,174.5033851,263.3421419,0.066666667,0,2735937.024,1,1,Agra,7,2,9/1/2003,31.05,Agra,22.53,70.770004,0.13999939,0.05000305,1141.85,0.148661139
48.29914336,10,0.54,1.181818182,17275.23358,305.3809239,526.6842838,10.64516129,2,2735937.024,1,1,Agra,7,2,10/1/2003,28.66998,Agra,15.68,42.79001,-2.699997,-2.7299957,1129.8186,3.839643255
45.62871218,11,0.56,1.181818182,24678.90511,436.2584628,526.6842838,2.766666667,2,2735937.024,1,1,Agra,7,2,11/1/2003,25.36,Agra,11,34.839996,-2.050003,-2.149994,891.95416,2.970687883
48.11924252,12,0.64,1.272727273,24678.90511,436.2584628,526.6842838,0.5,2,3419921.28,1,1,Agra,7,2,12/1/2003,22.16998,Agra,10.07,44.910004,-1.8500061,-1.6300049,728.2056,2.465651748
44.69440621,1,0.64,1.272727273,25848.84499,458.1854703,545.6353454,0.133333333,2,3600940.045,1,1,Agra,7,2,1/1/2004,21.11,Agra,9.13,46.04001,-1.3600006,-1.2400055,719.3589,1.84043888
36.47772271,2,0.55,1.181818182,22402.33233,397.0940742,545.6353454,1.482758621,2,3240846.041,1,1,Agra,7,2,2/1/2004,25.84998,Agra,11.22998,30.160004,-0.8200073,-2.130005,975.37067,2.282396388
29.14510908,3,0.45,1.181818182,20679.07599,366.5483762,545.6353454,12.96774194,2,2880752.036,1,1,Agra,7,2,3/1/2004,32.88,Agra,16.5,20.670013,-1.3899994,-2.8200073,1565.7782,3.14396875
36.21350329,4,0.35,1.090909091,15509.30699,274.9112822,545.6353454,27.9,2,2880752.036,1,1,Agra,7,2,4/1/2004,37.69,Agra,19.64,23.25,-1.0700073,-1.5,1923.7875,1.84252968
29.63224181,5,0.34,1.090909091,15509.30699,274.9112822,545.6353454,11,2,2880752.036,1,1,Agra,7,2,5/1/2004,40.09998,Agra,23.64,24.480011,0.4900055,-1.3099976,1986.5201,1.398641878
57.86140228,6,0.46,1.181818182,13786.05066,244.3655841,545.6353454,0.266666667,0,2880752.036,1,1,Agra,7,2,6/1/2004,37.52002,Agra,25.86,46.51001,0.69999695,0.13000488,1748.0917,0.711966993
44.3302861,7,0.72,1.272727273,12924.4225,229.0927351,272.8176727,0.161290323,0,2880752.036,1,1,Agra,7,2,7/1/2004,34.7,Agra,25.5,58.880005,1.0299988,1.300003,1490.9274,1.658585339
15.75278388,8,0.77,1.272727273,10339.538,183.2741881,272.8176727,0.225806452,0,2880752.036,1,1,Agra,7,2,8/1/2004,32.59,Agra,24.47,78.83,0.039993286,0.80000305,974.004,0.801002087
39.56072448,9,0.67,1.272727273,10339.538,183.2741881,272.8176727,0.133333333,0,2880752.036,1,1,Agra,7,2,9/1/2004,34.75,Agra,21.99,45.130005,0.9900055,-0.32000732,1045.95,1.040440087
51.90835596,10,0.54,1.181818182,18094.19149,320.7298292,545.6353454,7.516129032,2,2880752.036,1,1,Agra,7,2,10/1/2004,27.37,Agra,15.33002,51.089996,-3.0700073,-2.4400024,1060.3468,3.921550272
43.05742173,11,0.56,1.181818182,25848.84499,458.1854703,545.6353454,4.2,2,2880752.036,1,1,Agra,7,2,11/1/2004,26.53,Agra,11.43,31.899994,-1.5,-2.180008,834.15,2.64621142
48.22328933,12,0.64,1.272727273,25848.84499,458.1854703,545.6353454,0.483870968,2,3600940.045,1,1,Agra,7,2,12/1/2004,23.83002,Agra,10.09998,33.97,-1.1399994,-1.9300079,643.1573,2.241546146
48.95860548,1,0.64,1.272727273,26717.58307,471.6093927,583.7496177,0.161290323,2,3574128.158,1,1,Agra,7,2,1/1/2005,20.21,Agra,9.19,43.95999,-0.80000305,-1.699997,789.3992,1.878828007
37.20508168,2,0.55,1.181818182,23155.23866,408.7281403,583.7496177,0.857142857,2,3216715.342,1,1,Agra,7,2,2/1/2005,23.86,Agra,11.88,42.920013,-0.9600067,-0.9799957,1042.4777,1.371861668
32.97423714,3,0.45,1.181818182,21374.06646,377.2875141,583.7496177,2.483870968,2,2859302.526,1,1,Agra,7,2,3/1/2005,29.41998,Agra,16.34998,45.48999,-1.3300018,-1.8099976,1555.2097,2.246106876
31.3858086,4,0.35,1.090909091,16030.54984,282.9656356,583.7496177,32.06666667,2,2859302.526,1,1,Agra,7,2,4/1/2005,34.96,Agra,18.33002,22.700012,-1.3999939,-1.699997,1751.4584,2.202265361
28.36927993,5,0.34,1.090909091,16030.54984,282.9656356,583.7496177,21.77419355,2,2859302.526,1,1,Agra,7,2,5/1/2005,37.64,Agra,22.02002,28.859985,-1.3899994,-2.4400024,2081.2136,2.808150645
25.98099892,6,0.46,1.181818182,14249.37764,251.5250094,583.7496177,8,0,2859302.526,1,1,Agra,7,2,6/1/2005,42.31,Agra,27.27002,28.399994,0.7799988,-0.8899994,2071.6458,1.183425984
14.61674124,7,0.72,1.272727273,13358.79154,235.8046963,291.8748088,0.516129032,0,2859302.526,1,1,Agra,7,2,7/1/2005,31.91,Agra,24.76,85.03999,0.5299988,1.5,1010.2661,1.59087986
24.3226601,8,0.77,1.272727273,10687.03323,188.6437571,291.8748088,0.225806452,0,2859302.526,1,1,Agra,7,2,8/1/2005,34.18,Agra,24.5,60.42,1.800003,0.44999695,1082.5847,1.855399702
21.34612992,9,0.67,1.272727273,10687.03323,188.6437571,291.8748088,0.1,0,2859302.526,1,1,Agra,7,2,9/1/2005,32.7,Agra,23.4,66.399994,-1.1000061,0.05000305,908.12915,1.101142009
54.77719916,10,0.54,1.181818182,18702.30815,330.1265749,583.7496177,13.61290323,2,2859302.526,1,1,Agra,7,2,10/1/2005,32.15,Agra,16.12,30.619995,-0.33999634,-1.3600006,952.4073,1.401855607
48.7375088,11,0.56,1.181818182,26717.58307,471.6093927,583.7496177,12.46666667,2,2859302.526,1,1,Agra,7,2,11/1/2005,26.51,Agra,11.99,30.079987,-0.5,-1.8800049,929.37085,1.945358174
63.46347644,12,0.64,1.272727273,26717.58307,471.6093927,583.7496177,1.322580645,2,3574128.158,1,1,Agra,7,2,12/1/2005,23.06,Agra,8.39,29.429993,-1.1199951,-2.369995,648.91534,2.621309849
46.40675582,1,0.64,1.272727273,26952.45876,473.2978405,634.7480237,0.612903226,2,3924260.657,1,1,Agra,7,2,1/1/2006,23.53998,Agra,10.27002,32.170013,-0.83999634,-2.3099976,666.35486,2.457983475
37.57128783,2,0.55,1.181818182,23358.79759,410.1914617,634.7480237,2.642857143,2,3531834.591,1,1,Agra,7,2,2/1/2006,29.44,Agra,13.83002,28.5,-0.4900055,-2.7799988,1107.5714,2.822852939
32.34564244,3,0.45,1.181818182,21561.96701,378.6382724,634.7480237,4.387096774,2,3139408.526,1,1,Agra,7,2,3/1/2006,28.75,Agra,15.38,40.850006,-1.8300018,-1.8600006,1459.8468,2.609311944
36.48252141,4,0.35,1.090909091,16171.47526,283.9787043,634.7480237,24.2,2,3139408.526,1,1,Agra,7,2,4/1/2006,36.32,Agra,18.97,18.269989,-2.1699982,-2.5599976,1913.4166,3.355961844
34.35135681,5,0.34,1.090909091,16171.47526,283.9787043,634.7480237,8.677419355,2,3139408.526,1,1,Agra,7,2,5/1/2006,40.19,Agra,24.3,29.940002,-1.2799988,-1.6600037,2034.7379,2.096189212
49.69813698,6,0.46,1.181818182,14374.64467,252.4255149,634.7480237,0.433333333,0,3139408.526,1,1,Agra,7,2,6/1/2006,37.45,Agra,25.51,44.440002,-0.6499939,-0.69000244,1992.1542,0.947942739
51.54903342,7,0.72,1.272727273,13476.22938,236.6489202,317.3740118,0.451612903,0,3139408.526,1,1,Agra,7,2,7/1/2006,33.72,Agra,25.45,73.7,-0.11999512,1.3500061,1584.7782,1.355328484
28.75232852,8,0.77,1.272727273,10780.9835,189.3191362,317.3740118,0.516129032,0,3139408.526,1,1,Agra,7,2,8/1/2006,32.96,Agra,24.59,74.86,-1.1699982,0.58999634,885.52014,1.310340211
33.97959185,9,0.67,1.272727273,10780.9835,189.3191362,317.3740118,1.366666667,0,3139408.526,1,1,Agra,7,2,9/1/2006,33.7,Agra,22.32,62.199997,0.5099945,0.08999634,849.875,0.517874243
