year,India,Andaman,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,Uttaranchal,Uttar Pradesh,West Bengal
2001,286120,116,20809,228,3439,8682,809,4186,50,57,12906,671,18930,6115,596,5994,2517,17962,8267,27,15967,41101,576,454,441,343,5517,649,8263,13214,60,27484,546,34540,2179,22427
2002,293041,122,21098,242,3545,8856,828,4319,54,60,13338,684,19412,6339,611,6133,2576,18369,8329,28,16368,42137,581,462,450,347,5647,650,8490,13515,62,28388,559,35429,2239,22776
2003,300043,128,21382,256,3653,9026,859,4454,61,63,13773,707,19895,6567,626,6269,2637,18778,8390,28,16768,43195,587,471,459,352,5776,664,8722,13817,63,29300,572,36337,2300,23110
2004,307111,135,21661,271,3761,9194,898,4591,70,65,14213,738,20379,6801,641,6403,2698,19188,8450,28,17167,44270,592,479,468,356,5905,686,8958,14120,66,30218,586,37261,2362,23431
2005,314234,142,21935,287,3871,9359,943,4729,81,66,14664,772,20864,7039,656,6536,2761,19599,8508,28,17567,45359,598,488,477,361,6035,714,9198,14423,68,31140,599,38198,2425,23744
2006,321400,150,22205,303,3983,9520,990,4869,93,68,15126,808,21351,7281,672,6669,2823,20012,8565,28,17969,46456,603,496,486,365,6166,745,9439,14725,70,32063,613,39146,2488,24052
2007,328616,158,22470,321,4097,9678,1043,5011,106,69,15600,848,21839,7527,687,6802,2886,20426,8621,28,18370,47565,608,505,496,370,6298,780,9683,15025,73,32988,627,40106,2553,24352
2008,335891,167,22730,338,4213,9833,1102,5155,121,70,16081,893,22328,7778,703,6933,2950,20842,8675,27,18772,48688,613,514,505,375,6430,822,9930,15326,75,33918,642,41080,2619,24642
2009,343213,176,22986,357,4330,9985,1165,5301,137,70,16574,941,22818,8034,718,7064,3015,21259,8727,26,19175,49821,618,523,515,379,6563,869,10180,15625,78,34850,656,42066,2685,24926
2010,350569,185,23238,376,4449,10134,1229,5449,154,71,17082,989,23310,8293,734,7196,3079,21677,8778,26,19579,50960,623,532,524,384,6696,915,10430,15922,81,35780,671,43060,2752,25207
2011,357948,193,23487,396,4571,10280,1292,5600,172,71,17608,1034,23803,8556,750,7330,3143,22098,8826,25,19986,52100,628,541,534,388,6832,960,10681,16215,83,36708,686,44060,2820,25489
2012,365357,202,23732,417,4696,10423,1355,5753,190,72,18151,1079,24298,8823,766,7464,3207,22520,8872,25,20393,53244,634,550,544,393,6968,1005,10932,16505,86,37634,702,45068,2888,25769
2013,372804,211,23973,438,4822,10562,1419,5909,208,72,18707,1124,24794,9094,782,7600,3271,22944,8917,24,20802,54395,639,559,554,398,7105,1051,11185,16792,88,38560,717,46086,2956,26045
2014,380277,219,24210,460,4951,10699,1484,6067,227,73,19281,1168,25291,9368,799,7736,3335,23369,8959,23,21213,55549,643,568,564,402,7243,1097,11437,17077,91,39484,733,47110,3026,26320
2015,387764,227,24445,483,5083,10832,1544,6227,246,73,19875,1208,25790,9646,815,7875,3398,23796,8998,23,21626,56701,648,578,574,407,7383,1138,11690,17356,93,40403,749,48139,3095,26598
2016,395253,235,24676,507,5218,10962,1599,6391,264,74,20493,1241,26290,9927,831,8018,3461,24225,9035,23,22042,57846,653,587,584,412,7525,1172,11940,17630,96,41314,765,49169,3165,26883
2017,402732,244,24902,530,5352,11090,1670,6553,285,74,21114,1286,26779,10209,848,8154,3522,24643,9070,22,22450,59006,658,597,594,416,7667,1221,12190,17905,98,42208,781,50200,3234,27157
2018,410224,253,25123,555,5489,11216,1744,6717,307,75,21751,1333,27266,10495,864,8291,3583,25059,9102,22,22857,60170,662,606,604,421,7810,1271,12441,18177,101,43096,798,51235,3303,27430
2019,417713,263,25339,579,5626,11339,1822,6882,330,75,22402,1381,27749,10783,881,8426,3643,25471,9132,21,23262,61337,667,615,613,425,7953,1325,12691,18446,104,43972,814,52271,3373,27701
2020,425182,273,25551,605,5765,11459,1907,7047,354,76,23066,1434,28225,11072,898,8560,3701,25877,9160,21,23663,62507,671,624,623,430,8098,1383,12939,18713,107,44831,830,53304,3441,27970
2021,432615,285,25758,630,5905,11578,2000,7212,379,76,23743,1491,28690,11362,915,8690,3757,26272,9184,20,24057,63680,674,633,633,434,8244,1447,13185,18978,110,45667,847,54332,3509,28238
2022,446830,297,26510,655,6074,11806,2082,7456,396,79,24467,1545,29756,11817,935,8969,3877,27166,9415,20,24923,66078,694,652,655,445,8457,1517,13644,19595,114,46920,872,56207,3633,29103
2023,462603,311,27383,679,6250,12059,2166,7719,411,83,25212,1599,30956,12311,956,9282,4009,28170,9691,21,25895,68762,718,673,679,457,8687,1591,14152,20292,117,48258,899,58278,3769,30106
2024,481487,326,28504,704,6441,12361,2249,8019,424,88,25986,1654,32427,12881,979,9663,4170,29400,10060,21,27082,72012,750,698,710,473,8948,1671,14758,21151,121,49776,931,60737,3930,31383
2025,505038,342,30001,727,6652,12740,2330,8373,431,94,26795,1710,34308,13564,1004,10144,4374,30968,10572,23,28591,76112,792,729,749,493,9256,1758,15509,22253,124,51570,969,63777,4130,33074
2026,534809,360,31999,750,6889,13221,2406,8798,431,103,27646,1766,36737,14397,1032,10762,4634,32990,11272,24,30531,81341,850,770,799,520,9626,1854,16456,23681,128,53734,1015,67591,4380,35317
